id_icpe,nom_original,structure,etablissement,nom_complet,code_insee_commune,nom_commune,epci_siren,epci_nom,coordonnees_lat_lon,geometrie_geojson,id_ligne_export,siret,regime_icpe,categorie_seveso,priorite_nationale,url_fiche_georisques,elevage_bovins,elevage_porcs,elevage_volailles,activite_carriere,activite_eolienne,activite_industrielle,directive_ied,code_naf_division,date_enregistrement,annee_enregistrement,nb_rapports_inspection
5211162,ECO'TRI ANDERNOS,ECO'TRI ANDERNOS,,ECO'TRI ANDERNOS,33005,Andernos-les-Bains,243301504,CA du Bassin d'Arcachon Nord (COBAN),"44.764835, -1.069833","{""coordinates"": [-1.069833, 44.764835], ""type"": ""Point""}",1607,52396853500022,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005211162,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,38,2025-02-10T00:00:00+01:00,2025,0
53325128,BROUQUEYRE JACQUES,BROUQUEYRE JACQUES,,BROUQUEYRE JACQUES,33484,Saint-Symphorien,200043974,CC du Sud Gironde,"44.421544, -0.537197","{""coordinates"": [-0.537197, 44.421544], ""type"": ""Point""}",2516,47210781200019,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0053325128,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,2026-03-02T00:00:00+01:00,2026,0
53319963,SCA CHATEAUX SOLIDAIRES,SCA CHATEAUX SOLIDAIRES,,SCA CHATEAUX SOLIDAIRES,33100,Cars,200023794,CC de Blaye,"45.128556, -0.616021","{""coordinates"": [-0.616021, 45.128556], ""type"": ""Point""}",2325,78186648800013,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0053319963,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,2025-03-12T00:00:00+01:00,2025,0
5200575,POLYCLINIQUE BDX-NORD,POLYCLINIQUE BDX-NORD,,POLYCLINIQUE BDX-NORD,33063,Bordeaux,243300316,Bordeaux Métropole,"44.863769, -0.579","{""coordinates"": [-0.579, 44.863769], ""type"": ""Point""}",540,40314968500014,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200575,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2025-02-10T00:00:00+01:00,2025,0
53326370,EARL PATACHON & FILS,EARL PATACHON & FILS,,EARL PATACHON & FILS,33227,Langon,200043974,CC du Sud Gironde,"44.516591, -0.219891","{""coordinates"": [-0.219891, 44.516591], ""type"": ""Point""}",2548,34842841800019,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0053326370,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2026-03-02T00:00:00+01:00,2026,0
53319887,EARL GIRAUD,EARL GIRAUD,,EARL GIRAUD,33073,Braud-et-Saint-Louis,243300811,CC de l'Estuaire,"45.236868, -0.592696","{""coordinates"": [-0.592696, 45.236868], ""type"": ""Point""}",2310,42157079700017,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0053319887,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2025-03-12T00:00:00+01:00,2025,0
5212438,EARL LES FAURES,EARL LES FAURES,,EARL LES FAURES,33087,Camiran,200044394,CC du Réolais en Sud Gironde,"44.633145, -0.070392","{""coordinates"": [-0.070392, 44.633145], ""type"": ""Point""}",1885,50770884000016,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005212438,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,01,2025-02-10T00:00:00+01:00,2025,0
3100247,SF GRAND PONTET,SF GRAND PONTET,,SF GRAND PONTET,33394,Saint-Émilion,200035533,CC du Grand Saint Emilionnais,"44.900544, -0.163975","{""coordinates"": [-0.163975, 44.900544], ""type"": ""Point""}",13,32288246500014,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003100247,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,01,2025-02-10T00:00:00+01:00,2025,0
5207943,C-LOGISTICS Bat B,C-LOGISTICS Bat B,,C-LOGISTICS Bat B,33122,Cestas,243301165,CC Jalle-Eau-Bourde,"44.709801, -0.754958","{""coordinates"": [-0.754958, 44.709801], ""type"": ""Point""}",1331,84216034300062,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005207943,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,52,2025-10-24T00:00:00+02:00,2025,2
5206706,MAIRIE - Soulac (Décharge),MAIRIE - Soulac (Décharge),,MAIRIE - Soulac (Décharge),33514,Soulac-sur-Mer,200070720,CC Médoc Atlantique,"45.501316, -1.112531","{""coordinates"": [-1.112531, 45.501316], ""type"": ""Point""}",1124,21330514700018,AUTORISATION,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005206706,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,2025-02-10T00:00:00+01:00,2025,0
