codeAiot;raisonSociale;"adresse1";"adresse2";"adresse3";codePostal;codeInsee;commune;codeNaf;numeroSiret;coordonneeX;coordonneeY;systemeCoordonnees;longitude;latitude;bovins;porcs;volailles;carriere;eolienne;industrie;prioriteNationale;statutSeveso;ied;serviceAiot;etatActivite;regimeVigueur;url
"0005200555";"SAN JOSE JEAN";"11, Rue de NAVARRE";;;"33000";"33063";Bordeaux;"21";"30752220100010";416938;6421123;"2154";-0.582641;44.831467;false;false;false;false;false;true;false;"Non Seveso";false;"DREAL NA";"En fin d'exploitation";Enregistrement;"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200555"
"0003105037";"CHATEAU DE ROQUEFORT";Roquefort;;;"33760";"33258";Lugasson;"01";"32395975900016";450126;6411557;"2154";-0.158227;44.758171;false;false;false;false;false;false;false;;false;"DREAL NA";;"Non ICPE";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0003105037"
"0005200756";"AIR LIQUIDE FRANCE INDUSTRIE";"AV GASTON CABANNES";;;"33270";"33167";Floirac;"20";"31411950400715";421679;6419895;"2154";-0.522023;44.822342;false;false;false;false;false;true;true;"Seveso seuil bas";false;"DREAL NA";"En exploitation avec titre";Autorisation;"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200756"
"0005212163";"PROPRIETES BORDELAISES";"45, LE BOURG";;;"33790";"33117";Cazaugitat;"01";"90433147700029";462815;6406241;"2154";0.004542;44.714798;false;false;false;false;false;false;false;;false;"DDPP 33";;"Autres régimes";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005212163"
"0005208707";"SUEZ Organique";"Route de Sémignan";;;"33112";"33424";"Saint-Laurent-Médoc";"38";"34530688000872";397243;6454963;"2154";-0.852414;45.127469;false;false;false;false;false;true;false;"Non Seveso";false;"DREAL NA";"En exploitation avec titre";Autorisation;"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005208707"
"0100296294";"WINTERSTEIN FRANCOIS";"99 B RUE DES PALUS";;;"33290";"33312";Parempuyre;"38";"89299917800015";419131;6433735;"2154";-0.562118;44.945795;false;false;false;false;false;false;false;;false;"DREAL NA";;"Non ICPE";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0100296294"
"0100286986";SPIE;"Chemin de Monfaucon";"Parcelle n°062 section 0C";;"33127";"33273";"Martignas-sur-Jalle";"41";"30269887300635";403344;6424269;"2154";-0.756336;44.854075;false;false;false;false;false;false;false;;false;"DREAL NA";;"Non ICPE";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0100286986"
"0003101562";"MADAME LACROIX ANNE MARIE";"10 LIEU DIT LE BREUILH";;;"33620";"33123";Cézac;"01";"50130482800012";428374;6448592;"2154";-0.453281;45.083128;false;false;false;false;false;false;false;;false;"DDPP 33";;"Autres régimes";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0003101562"
"0005212222";"SCEA CAZETTE";CAZETTE;;;"33790";"33277";Massugas;"01";"44099307900027";470904;6412591;"2154";0.103666;44.774643;false;false;false;false;false;false;false;;false;"DDPP 33";;"Autres régimes";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005212222"
"0100078337";"SOCIETE DE CONCEPTIONS ET DE REALISATIONS GRAPHIQUES";"ZI DU PHARE 8 RUE GAY LUSSAC";;;"33700";"33281";Merignac;"18";"38016403800016";409543;6423406;"2154";-0.677449;44.84894;false;false;false;false;false;false;false;;false;"DREAL NA";;"Autres régimes";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0100078337"
"0005201192";"BARON PHILIPPE DE ROTHSCHILD SA";"ZONE ARTISANALE";;;"33112";"33424";"Saint-Laurent-Médoc";"46";"45920264400108";400217;6456211;"2154";-0.815398;45.139993;false;false;false;false;false;true;false;"Non Seveso";false;"DDPP 33";"En exploitation avec titre";Enregistrement;"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201192"
"0053323251";"SCEA BOIREAU-PERSAN";"Château de Budos";"3, Les Marots";;"33720";"33076";Budos;;"33438009400014";430712;6387869;"2154";-0.390467;44.537853;false;false;false;false;false;false;false;;false;"DDPP 33";;"Autres régimes";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0053323251"
"0005213236";"SCEA DES VIGNOBLES CANTERRANNE";"LD LE ROUEY";;;"33540";"33506";"Sauveterre-de-Guyenne";"01";"40066905700012";456693;6402829;"2154";-0.071022;44.681986;false;false;false;false;false;false;false;;false;"DDPP 33";;"Autres régimes";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005213236"
"0003107089";"GARDIER Micheline (station-service)";"222 boulevard Jean-Jacques Bosc";;;"33130";"33039";Bègles;"50";"38806392700015";419853;6418400;"2154";-0.54425;44.80816;false;false;false;false;false;false;false;;false;"DREAL NA";;"Non ICPE";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0003107089"
"0100032929";"CAMPUS ATLANTICA";"24 AV DE VIRECOURT";"ARTIGUES PRES BORDEAUX";;"33370";"33013";"ARTIGUES-PRES-BORDEAUX";"56";"81931642300014";423676;6423440;"2154";-0.498771;44.855026;false;false;false;false;false;false;false;;false;"DREAL NA";;"Autres régimes";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0100032929"
"0005208090";"DBP AQUITAINE";"4 RUE RENE BORN";"ZAE EYRIALYS";;"33114";"33029";"Le Barp";"25";"84498503600020";399658;6398492;"2154";-0.787295;44.620685;false;false;false;false;false;true;true;"Seveso seuil bas";true;"DREAL NA";"En exploitation avec titre";Autorisation;"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005208090"
"0100020549";AHCARS;"10 ALL FELIX NADAR";;;"33700";"33281";MERIGNAC;"45";"90930761300010";409752;6423124;"2154";-0.67464;44.846492;false;false;false;false;false;false;false;;false;"DREAL NA";;"Non ICPE";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0100020549"
"0005200617";"GAMMA ASSISTANCE";;;;"33820";"33073";"Braud-et-Saint-Louis";;"35032229300019";415693;6467520;"2154";-0.625319;45.248271;false;false;false;false;false;true;false;"Non Seveso";false;"DREAL NA";"En fin d'exploitation";Autorisation;"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200617"
