codeAiot;numeroRubrique;nature;alinea;regimeAutoriseAlinea;quantiteTotale;unite;dateMotif
"0005208707";"2780";"Installations de traitement aérobie de déchets non dangereux";"2.a";Autorisation;"60.0";"t/j";
"0005208707";"2714";"déchets non dangereux de papiers, plastiques, bois,? (transit) hors 2710,2711 et 2719";"2";Déclaration;"900.0";"m3";
"0005201192";"1185";"Quantité susceptible d'être présente";"2.a";"Déclaration avec contrôle";"353.700";kg;"20/07/2023"
"0005201192";"2251";"Vins (préparation, conditionnement)";"1";Enregistrement;"150000.000";"hL/an";"20/07/2023"
"0005201192";"2910";Combustion;"A.2";"Déclaration avec contrôle";"3.058";MW;"20/07/2023"
"0005201192";"1510";"Entrepot enregistré";"2.b";Enregistrement;"111390.000";"m3";"20/07/2023"
"0005208090";"4120";"Toxicité aiguë catégorie 2";"2.a";Autorisation;"45.000";t;"17/02/2026"
"0005208090";"3260";"Traitement de surface";;Autorisation;"158.100";"m3";"17/02/2026"
"0005208090";"4130";"Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation";"2.b";Déclaration;"9.000";t;"17/02/2026"
"0005208090";"4120";"Toxicité aiguë catégorie 2";"1.b";Déclaration;"45.000";t;"17/02/2026"
"0005213151";"2710";"collecte de déchets non dangereux-E";"2.a";Enregistrement;"550.000";"m3";"16/05/2022"
"0005213151";"2716";"déchets non dangereux non inertes (transit)";"1";Enregistrement;"30000.000";"m3";"16/05/2022"
"0005213151";"2710";"collecte de déchets dangereux-DC";"1.b";"Déclaration avec contrôle";"6.500";t;"16/05/2022"
"0005213151";"1530";"Papiers, cartons ou analogues (dépôt de) hors ERP et 1510";"2";"Déclaration avec contrôle";"5000.000";"m3";"16/05/2022"
"0005213151";"2517";"Produits minéraux ou déchets non dangereux inertes (transit)";"1";Enregistrement;"29500.000";"m2";"16/05/2022"
"0005213151";"2515";"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes";"1.a";Enregistrement;"744.000";kW;"16/05/2022"
